ID,createdAt,createdBy,description,owner,timeline,assignedTo
20466921-7d57-4e76-b14c-e53fd97dcb11,2021-04-27,max.mustermann@muster.com,SLA violation: authorize account manager to offer service credits for recent delivery issues,suitable BuPa,Q4 2022,train-01
20466921-7d57-4e76-b14c-e53fd97dcb12,2021-04-27,max.mustermann@muster.com,SLA violation: review third party contractors to ease service delivery challenges; trigger budget review,suitable BuPa,Q4 2022,train-02
20466921-7d57-4e76-b14c-e53fd97dcb13,2021-04-27,max.mustermann@muster.com,Embargo violation: investigate source of shipment request revoke authorization,SFSF Employee with link possible?,29.03.2023,train-03
20466921-7d57-4e76-b14c-e53fd97dcb14,2021-04-27,max.mustermann@muster.com,Embargo violation: review shipment proceedure and stop delivery until further notice,SFSF Employee with link possible?,01.03.2023,train-04
20466921-7d57-4e76-b14c-e53fd97dcb15,2021-04-27,max.mustermann@muster.com,SLA violation: authorize account manager to offer service credits for recent delivery issues,suitable BuPa,Q4 2022,train-05
20466921-7d57-4e76-b14c-e53fd97dcb16,2021-04-27,max.mustermann@muster.com,SLA violation: review third party contractors to ease service delivery challenges; trigger budget review,suitable BuPa,Q4 2022,train-06
20466921-7d57-4e76-b14c-e53fd97dcb17,2021-04-27,max.mustermann@muster.com,Embargo violation: investigate source of shipment request revoke authorization,SFSF Employee with link possible?,29.03.2024,train-07
20466921-7d57-4e76-b14c-e53fd97dcb18,2021-04-27,max.mustermann@muster.com,Embargo violation: review shipment proceedure and stop delivery until further notice,SFSF Employee with link possible?,01.03.2024,train-08
20466921-7d57-4e76-b14c-e53fd97dcb19,2021-04-27,max.mustermann@muster.com,SLA violation: authorize account manager to offer service credits for recent delivery issues,suitable BuPa,Q4 2022,train-09
20466921-7d57-4e76-b14c-e53fd97dcb20,2021-04-27,max.mustermann@muster.com,SLA violation: review third party contractors to ease service delivery challenges; trigger budget review,suitable BuPa,Q4 2022,train-10
